week,players,log_players
2020-01-06,809409,13.604059630709747
2020-01-13,822186,13.619721925813716
2020-01-20,834886,13.635050467566233
2020-01-27,847470,13.650010719380122
2020-02-03,859899,13.66457021947239
2020-02-10,872134,13.678698360809905
2020-02-17,884136,13.69236617594052
2020-02-24,895865,13.7055450109624
2020-03-02,907282,13.718208595877929
2020-03-09,918348,13.730331682735395
2020-03-16,929024,13.741889851692633
2020-03-23,939270,13.752858256794818
2020-03-30,949047,13.76321360218235
2020-04-06,958316,13.772932856425385
2020-04-13,967038,13.781993070457542
2020-04-20,975173,13.790370170137534
2020-04-27,982682,13.798040847300703
2020-05-04,989526,13.80498131957647
2020-05-11,995666,13.811167138961784
2020-05-18,1001062,13.816571994441214
2020-05-25,1005676,13.821170510172482
2020-06-01,1009467,13.824933026750495
2020-06-08,1012416,13.827850111558252
2020-06-15,1014577,13.82998233482565
2020-06-22,1016023,13.83140654465961
2020-06-29,1016828,13.832198535850383
2020-07-06,1017064,13.8324306032375
2020-07-13,1016806,13.832176899705432
2020-07-20,1016126,13.831507915179278
2020-07-27,1015098,13.830495717521345
2020-08-03,1013795,13.829211273068985
2020-08-10,1012290,13.827725649043533
2020-08-17,1010657,13.82611117238675
2020-08-24,1008969,13.824439575375168
2020-08-31,1007299,13.822783049177376
2020-09-07,1005720,13.821214260880952
2020-09-14,1004306,13.81980731367405
2020-09-21,1003130,13.818635669711771
2020-09-28,1002266,13.817773994458147
2020-10-05,1001785,13.817293966745044
2020-10-12,1001763,13.817272005703929
2020-10-19,1002272,13.817779980874967
2020-10-26,1003386,13.81889083837366
2020-11-02,1005177,13.820674203371096
2020-11-09,1007720,13.82320091124828
2020-11-16,1011086,13.826535558677627
2020-11-23,1015350,13.830743938604863
2020-11-30,1020586,13.835887530096798
2020-12-07,1026865,13.842021029442625
2020-12-14,1034262,13.849198686866936
2020-12-21,1042849,13.857466948813643
2020-12-28,1052701,13.866869800177218
2021-01-04,1063890,13.877442560080642
2021-01-11,1076490,13.88921630637973
2021-01-18,1090573,13.902213804153151
2021-01-25,1106214,13.91645393240188
2021-02-01,1123485,13.931946019383547
2021-02-08,1142276,13.948533321258827
2021-02-15,1161742,13.9654311607604
2021-02-22,1180853,13.981747616644899
2021-03-01,1198581,13.996648915053449
2021-03-08,1214082,14.009498793625276
2021-03-15,1227258,14.020292970538287
2021-03-22,1238198,14.029167654818023
2021-03-29,1246990,14.036243205383828
2021-04-05,1253722,14.0416272850079
2021-04-12,1258482,14.045416790713864
2021-04-19,1261360,14.047701061911363
2021-04-26,1262442,14.048558498482292
2021-05-03,1261817,14.0480633036447
2021-05-10,1259573,14.046283332602956
2021-05-17,1255799,14.043282581356685
2021-05-24,1250584,14.039121200174545
2021-05-31,1244014,14.033853806237229
2021-06-07,1236179,14.02753572852055
2021-06-14,1227166,14.020218003865827
2021-06-21,1217064,14.01195195891891
2021-06-28,1205962,14.002788146651783
2021-07-05,1193947,13.992775183339766
2021-07-12,1181108,13.98196353892388
2021-07-19,1167533,13.970403533650352
2021-07-26,1153310,13.95814662694727
2021-08-02,1138527,13.945245879619746
2021-08-09,1123273,13.93175730301923
2021-08-16,1107636,13.917738572459301
2021-08-23,1091705,13.903251252270696
2021-08-30,1075567,13.888358522355798
2021-09-06,1059310,13.873128310736385
2021-09-13,1043024,13.857634744264672
2021-09-20,1026796,13.84195383237356
2021-09-27,1010714,13.82616756975271
2021-10-04,994867,13.810364338864613
2021-10-11,979344,13.79463823875164
2021-10-18,964231,13.779086171442842
2021-10-25,949618,13.763815077447566
2021-11-01,935593,13.74893583183433
2021-11-08,922231,13.7345510134576
2021-11-15,909558,13.720714046209924
2021-11-22,897586,13.707464216480982
2021-11-29,886328,13.694842364239207
2021-12-06,875797,13.68288960790397
2021-12-13,866004,13.67164480647155
2021-12-20,856963,13.661150022785588
2021-12-27,848687,13.651445728295974
2022-01-03,841187,13.642569268578095
2022-01-10,834476,13.634559261934088
2022-01-17,828568,13.627454188521739
2022-01-24,823474,13.621287255545246
2022-01-31,819207,13.616092078152748
2022-02-07,815780,13.611899989752379
2022-02-14,813206,13.60873973896784
2022-02-21,811496,13.606634736781073
2022-02-28,810664,13.605608943920991
2022-03-07,810723,13.605681721117337
2022-03-14,811684,13.606866380838838
2022-03-21,813560,13.609174958299432
2022-03-28,816365,13.612616837857235
2022-04-04,820110,13.617193756585083
2022-04-11,824808,13.622905910958897
2022-04-18,830472,13.629749492837394
2022-04-25,837114,13.637715540913982
2022-05-02,844748,13.646793637009365
2022-05-09,853384,13.65696490102501
2022-05-16,863037,13.668212842842923
2022-05-23,873719,13.680514092644673
2022-05-30,885442,13.693842234342151
2022-06-06,898219,13.708169192829992
2022-06-13,912063,13.723464345617996
2022-06-20,926986,13.739693741952827
2022-06-27,943000,13.756821561615595
2022-07-04,960119,13.774812514095153
2022-07-11,978354,13.793626846714266
2022-07-18,997720,13.813227954806722
2022-07-25,1018227,13.83357343748241
2022-08-01,1039889,13.85462453465219
2022-08-08,1062700,13.876323397360787
2022-08-15,1086577,13.89854294593278
2022-08-22,1111421,13.921149934736725
2022-08-29,1137131,13.94401898157521
2022-09-05,1163607,13.967035221398083
2022-09-12,1190749,13.99009307885591
2022-09-19,1218456,14.01309504142414
2022-09-26,1246627,14.035952062034578
2022-10-03,1275163,14.058584571540681
2022-10-10,1303963,14.08091864683305
2022-10-17,1332926,14.102887083741424
2022-10-24,1361953,14.124430257019819
2022-10-31,1390943,14.145492492352096
2022-11-07,1419795,14.166023052958458
2022-11-14,1448409,14.185976270607425
2022-11-21,1476685,14.205310268626025
2022-11-28,1504523,14.223986462406305
2022-12-05,1531822,14.24196843454277
2022-12-12,1558481,14.259222186905719
2022-12-19,1584401,14.275716975883448
2022-12-26,1609480,14.29142170342447
2023-01-02,1633620,14.306308969216714
2023-01-09,1656718,14.320349094840141
2023-01-16,1678676,14.333515945431037
2023-01-23,1699392,14.345781097996658
2023-01-30,1718766,14.357117149444598
2023-02-06,1736698,14.367496167125168
2023-02-13,1753087,14.376888791878956
2023-02-20,1767833,14.385265060704807
2023-02-27,1780836,14.392593474932507
2023-03-06,1791996,14.398840640371665
2023-03-13,1801211,14.403969774430657
2023-03-20,1808382,14.407943080802951
2023-03-27,1813408,14.410718505786877
2023-04-03,1816188,14.412250357014187
2023-04-10,1816624,14.412490391456979
2023-04-17,1814613,14.411382779805306
2023-04-24,1810056,14.408868341989919
2023-05-01,1802853,14.40488096807961
2023-05-08,1792953,14.39937453919295
2023-05-15,1780510,14.392410398084085
2023-05-22,1765729,14.384074194237117
2023-05-29,1748811,14.374446686412076
2023-06-05,1729963,14.363610578962014
2023-06-12,1709387,14.351645384677532
2023-06-19,1687288,14.33863306420713
2023-06-26,1663869,14.324656171302701
2023-07-03,1639334,14.30980061975946
2023-07-10,1613888,14.294156732591352
2023-07-17,1587734,14.277818400461243
2023-07-24,1561077,14.260886525635275
2023-07-31,1534119,14.243466832867961
2023-08-07,1507065,14.225674608728903
2023-08-14,1480119,14.207633047913362
2023-08-21,1453485,14.189474679010376
2023-08-28,1427367,14.171342046294312
2023-09-04,1401969,14.1533882350626
2023-09-11,1377494,14.135776464282841
2023-09-18,1354146,14.1186815552971
2023-09-25,1332131,14.102290473594937
2023-10-02,1311650,14.086796444604499
2023-10-09,1292909,14.072405276313628
2023-10-16,1276111,14.059327729699021
2023-10-23,1261460,14.047780338276741
2023-10-30,1249160,14.037981883385278
2023-11-06,1239415,14.030150052067214
2023-11-13,1232429,14.024497576748793
2023-11-20,1228406,14.02122795193935
2023-11-27,1227550,14.020530871018794
2023-12-04,1230064,14.022576758515282
2023-12-11,1236153,14.027514695746635
2023-12-18,1246021,14.035465832120094
2023-12-25,1259871,14.046519892733992
2024-01-01,1277907,14.060734141318704
2024-01-08,1300166,14.078002506587488
2024-01-15,1326016,14.097689516020154
2024-01-22,1354658,14.119059581914085
2024-01-29,1385291,14.141420783837166
2024-02-05,1417116,14.164134378413255
2024-02-12,1449333,14.1866140085643
2024-02-19,1481144,14.208325320123521
2024-02-26,1511748,14.228777155164517
2024-03-04,1540345,14.247516975273767
2024-03-11,1566138,14.264123274255681
2024-03-18,1588325,14.27819055979885
2024-03-25,1606107,14.289323796425153
2024-04-01,1618685,14.297124649183619
2024-04-08,1625440,14.301289106325372
2024-04-15,1626477,14.301926884002448
2024-04-22,1622081,14.299220450758336
2024-04-29,1612538,14.293319893265867
2024-05-06,1598134,14.28434725661126
2024-05-13,1579155,14.272400451814622
2024-05-20,1555885,14.25755507353417
2024-05-27,1528611,14.239870037892205
2024-06-03,1497618,14.219386403864004
2024-06-10,1463192,14.196130908575284
2024-06-17,1425618,14.170115961881597
2024-06-24,1385183,14.14134281883908
2024-07-01,1342171,14.109799010154871
2024-07-08,1296853,14.07545111840189
2024-07-15,1249434,14.038201206733607
2024-07-22,1200104,13.997918777669557
2024-07-29,1149054,13.954449553115584
2024-08-05,1096473,13.9076092227339
2024-08-12,1042552,13.857182111507047
2024-08-19,987480,13.80291152238776
2024-08-26,931447,13.74449456992787
2024-09-02,874643,13.681571082085105
2024-09-09,817258,13.613710113464823
2024-09-16,759483,13.54039321762065
2024-09-23,701507,13.460986157092115
2024-09-30,643520,13.374708385566425
2024-10-07,585712,13.280583480172584
2024-10-14,528274,13.177370367479856
2024-10-21,471394,13.063449541359041
2024-10-28,415264,12.936669741536956
2024-11-04,360073,12.794062067653435
2024-11-11,306010,12.63137306013911
2024-11-18,253267,12.442199547202511
2024-11-25,202033,12.216186329377148
2024-12-02,152498,11.934906760189506
2024-12-09,104852,11.560305111017003
2024-12-16,59284,10.990094734076806
2024-12-23,15986,9.679468618185965
2024-12-30,1,0.0
