week,players,log_players
2020-01-06,59836,10.999362765494352
2020-01-13,61317,11.023812408109887
2020-01-20,62769,11.047216600007362
2020-01-27,64184,11.069509237433492
2020-02-03,65559,11.090705779538261
2020-02-10,66887,11.110759907353348
2020-02-17,68164,11.129671845227284
2020-02-24,69383,11.147397159715752
2020-03-02,70539,11.163921027335716
2020-03-09,71626,11.179213415525163
2020-03-16,72640,11.193271013275174
2020-03-23,73574,11.206046981436083
2020-03-30,74423,11.217520312832272
2020-04-06,75182,11.227667119584218
2020-04-13,75845,11.236447063025773
2020-04-20,76407,11.243829593994127
2020-04-27,76862,11.249766885117783
2020-05-04,77205,11.254219500754965
2020-05-11,77429,11.257116666406501
2020-05-18,77530,11.258420237213004
2020-05-25,77503,11.258071924269657
2020-06-01,77341,11.255979494997533
2020-06-08,77042,11.252106006675017
2020-06-15,76612,11.246509001422552
2020-06-22,76062,11.239304076166782
2020-06-29,75402,11.230589078843199
2020-07-06,74639,11.220418437789462
2020-07-13,73785,11.20891073789755
2020-07-20,72849,11.196144084693172
2020-07-27,71840,11.182196702976082
2020-08-03,70769,11.167176330688804
2020-08-10,69644,11.151151830486489
2020-08-17,68475,11.134223994131279
2020-08-24,67272,11.116499381512734
2020-08-31,66045,11.098091606857963
2020-09-07,64803,11.079107177565023
2020-09-14,63556,11.059676686008258
2020-09-21,62313,11.039925350744218
2020-09-28,61085,11.02002161583816
2020-10-05,59879,11.000081138327317
2020-10-12,58708,10.98033128273109
2020-10-19,57579,10.960913196873987
2020-10-26,56502,10.942031314738118
2020-11-02,55487,10.923904038063169
2020-11-09,54545,10.906781328031856
2020-11-16,53683,10.890851656820173
2020-11-23,52912,10.876385435221573
2020-11-30,52242,10.86364204805667
2020-12-07,51682,10.852864837398073
2020-12-14,51242,10.844314787255186
2020-12-21,50931,10.838227054478743
2020-12-28,50760,10.834863921828324
2021-01-04,50736,10.83439099677813
2021-01-11,50871,10.837048295575237
2021-01-18,51174,10.842986869547165
2021-01-25,51655,10.852342275283545
2021-02-01,52322,10.865172211700168
2021-02-08,53175,10.881343640068438
2021-02-15,54167,10.899827145911038
2021-02-22,55240,10.919442607523228
2021-03-01,56338,10.939124542042725
2021-03-08,57412,10.95800861969127
2021-03-15,58452,10.975961183594542
2021-03-22,59460,10.993059096552088
2021-03-29,60436,11.009340232859731
2021-04-05,61380,11.024839328173726
2021-04-12,62293,11.039604338912175
2021-04-19,63174,11.053648103084814
2021-04-26,64025,11.067028911067727
2021-05-03,64846,11.0797705070404
2021-05-10,65636,11.091879604895041
2021-05-17,66398,11.103422214528967
2021-05-24,67130,11.114386316932798
2021-05-31,67834,11.124818823158211
2021-06-07,68510,11.134734998996946
2021-06-14,69158,11.14414902092911
2021-06-21,69779,11.153088383884281
2021-06-28,70373,11.16156494585521
2021-07-05,70940,11.169589728327614
2021-07-12,71481,11.177186959102759
2021-07-19,71997,11.184379730463446
2021-07-26,72487,11.191162514419917
2021-08-02,72953,11.197570677162934
2021-08-09,73394,11.203597467392186
2021-08-16,73811,11.209263050972009
2021-08-23,74204,11.214573336058264
2021-08-30,74574,11.219547199973567
2021-09-06,74922,11.2242028513432
2021-09-13,75247,11.228531314706773
2021-09-20,75550,11.232549967700885
2021-09-27,75831,11.23626245900088
2021-10-04,76092,11.239698413488032
2021-10-11,76331,11.242834425715476
2021-10-18,76551,11.245712464357787
2021-10-25,76750,11.248308665449443
2021-11-01,76930,11.25065119645298
2021-11-08,77091,11.252741821220257
2021-11-15,77233,11.254582105817278
2021-11-22,77356,11.256173422482188
2021-11-29,77460,11.257516953068743
2021-12-06,77545,11.258613691993553
2021-12-13,77612,11.259477333391164
2021-12-20,77661,11.260108479844527
2021-12-27,77691,11.260494699531083
2022-01-03,77703,11.260649145649001
2022-01-10,77697,11.260571925571742
2022-01-17,77673,11.260262985619487
2022-01-24,77631,11.25972211093469
2022-01-31,77571,11.258948924983619
2022-02-07,77494,11.257955792989566
2022-02-14,77399,11.256729139597715
2022-02-21,77286,11.255268105624143
2022-02-28,77156,11.25358462534413
2022-03-07,77009,11.251677577122404
2022-03-14,76845,11.249545685041412
2022-03-21,76664,11.247187516023597
2022-03-28,76466,11.244601476575477
2022-04-04,76251,11.24178580913776
2022-04-11,76019,11.238738588023676
2022-04-18,75770,11.235457714925419
2022-04-25,75506,11.231967402278203
2022-05-02,75224,11.228225607956913
2022-05-09,74927,11.22426958518863
2022-05-16,74613,11.22007003374445
2022-05-23,74284,11.215650864312943
2022-05-30,73938,11.210982183166179
2022-06-06,73576,11.206074164582533
2022-06-13,73199,11.200937038653903
2022-06-20,72806,11.195553648371053
2022-06-27,72398,11.189933953682857
2022-07-04,71974,11.184060221670764
2022-07-11,71535,11.177942119400434
2022-07-18,71081,11.171575350824662
2022-07-25,70611,11.164941218710066
2022-08-01,70127,11.158063162917404
2022-08-08,69628,11.1509220642726
2022-08-15,69115,11.143527062898457
2022-08-22,68588,11.135872871298742
2022-08-29,68049,11.12798331289449
2022-09-05,67498,11.119853246792026
2022-09-12,66936,11.111492217975435
2022-09-19,66364,11.102910019763247
2022-09-26,65783,11.094116725270446
2022-10-03,65193,11.085107380187846
2022-10-10,64595,11.075892287394401
2022-10-17,63990,11.066482100133506
2022-10-24,63379,11.056887855272539
2022-10-31,62762,11.047105073770698
2022-11-07,62141,11.037161275511469
2022-11-14,61515,11.027036326494269
2022-11-21,60886,11.016758542212896
2022-11-28,60255,11.006340835461492
2022-12-05,59623,10.995796684651125
2022-12-12,58989,10.985106264827667
2022-12-19,58356,10.974317460191786
2022-12-26,57723,10.963410986589126
2023-01-02,57092,10.952419280749659
2023-01-09,56463,10.941340835358673
2023-01-16,55837,10.930192011064651
2023-01-23,55215,10.918989934481232
2023-01-30,54598,10.907752531025471
2023-02-06,53986,10.89648003267366
2023-02-13,53380,10.885191422958515
2023-02-20,52781,10.873906556448501
2023-02-27,52190,10.862646184637459
2023-03-06,51607,10.851412601183544
2023-03-13,51034,10.840247356249623
2023-03-20,50471,10.829154192888762
2023-03-27,49919,10.818156970791383
2023-04-03,49378,10.807260259851311
2023-04-10,48850,10.79650965747093
2023-04-17,48335,10.785911214898706
2023-04-24,47834,10.77549196269881
2023-05-01,47348,10.765279859073784
2023-05-08,46877,10.755282429029183
2023-05-15,46422,10.745528763777509
2023-05-22,45984,10.736048788878751
2023-05-29,45562,10.7268293147539
2023-06-05,45156,10.717878440381437
2023-06-12,44768,10.709248877465209
2023-06-19,44398,10.700949702360713
2023-06-26,44045,10.692967117543896
2023-07-03,43710,10.68533218785736
2023-07-10,43394,10.678076461683316
2023-07-17,43096,10.67118546436037
2023-07-24,42817,10.664690498970018
2023-07-31,42558,10.658623130430142
2023-08-07,42319,10.652991436763397
2023-08-14,42099,10.647779266419246
2023-08-21,41900,10.643041105910228
2023-08-28,41721,10.63875987814672
2023-09-04,41564,10.634989686972537
2023-09-11,41428,10.63171225970877
2023-09-18,41313,10.628932499395235
2023-09-25,41220,10.62667885444445
2023-10-02,41150,10.624979206105216
2023-10-09,41102,10.623812061100866
2023-10-16,41076,10.623179288318186
2023-10-23,41075,10.623154942905469
2023-10-30,41096,10.623666072147104
2023-11-06,41142,10.624784776512419
2023-11-13,41211,10.626460489993315
2023-11-20,41305,10.628738836996606
2023-11-27,41424,10.631615701991318
2023-12-04,41568,10.635085919470326
2023-12-11,41737,10.639143304545533
2023-12-18,41932,10.643804537572464
2023-12-25,42153,10.649061135274449
2024-01-01,42401,10.65492722584759
2024-01-08,42679,10.66146227496313
2024-01-15,43007,10.669118172124406
2024-01-22,43410,10.678445108293639
2024-01-29,43909,10.689874589440821
2024-02-05,44529,10.703895941292874
2024-02-12,45294,10.72092985236768
2024-02-19,46227,10.741319321949963
2024-02-26,47352,10.765364336370562
2024-03-04,48691,10.793249487064015
2024-03-11,50270,10.82516375668662
2024-03-18,52111,10.861131337893761
2024-03-25,54237,10.901118611350125
2024-04-01,56673,10.945053185824962
2024-04-08,59429,10.992537601700546
2024-04-15,62468,11.042409704607737
2024-04-22,65736,11.093401999611023
2024-04-29,69185,11.144539355103484
2024-05-06,72762,11.194949119884846
2024-05-13,76416,11.24394737731222
2024-05-20,80096,11.2909811942315
2024-05-27,83751,11.335603389914535
2024-06-03,87329,11.377437874523483
2024-06-10,90781,11.416205291591996
2024-06-17,94053,11.451613732147083
2024-06-24,97097,11.483465757818603
2024-07-01,99859,11.511514469984832
2024-07-08,102300,11.535664951939717
2024-07-15,104420,11.556176506964544
2024-07-22,106232,11.573380660670164
2024-07-29,107746,11.587531884307083
2024-08-05,108975,11.598873777106594
2024-08-12,109930,11.607599078572909
2024-08-19,110622,11.613874263298445
2024-08-26,111063,11.617852886856484
2024-09-02,111264,11.619661034807589
2024-09-09,111238,11.619427329042082
2024-09-16,110996,11.617249443609122
2024-09-23,110548,11.613205094760566
2024-09-30,109908,11.607398931190987
2024-10-07,109086,11.599891840947327
2024-10-14,108094,11.590756497924074
2024-10-21,106943,11.580051261223137
2024-10-28,105646,11.567849161466128
2024-11-04,104213,11.554192160596289
2024-11-11,102657,11.539148613010505
2024-11-18,100988,11.522756976883517
2024-11-25,99218,11.505074728425514
2024-12-02,97360,11.486170727661408
2024-12-09,95424,11.46608539812441
2024-12-16,93422,11.444882142518866
2024-12-23,91366,11.422628696989069
2024-12-30,89267,11.399387157694076
