week,players,log_players
2020-01-06,260956,12.472107089717746
2020-01-13,258940,12.464351653612638
2020-01-20,256691,12.455628305862833
2020-01-27,254216,12.4459395783216
2020-02-03,251523,12.435289715632763
2020-02-10,248621,12.423684927540176
2020-02-17,245518,12.411125543284552
2020-02-24,242221,12.397605811544762
2020-03-02,238739,12.38312618398314
2020-03-09,235081,12.367685414588562
2020-03-16,231253,12.351267628263496
2020-03-23,227264,12.33386761630276
2020-03-30,223122,12.315473986047499
2020-04-06,218836,12.2960778698166
2020-04-13,214413,12.275659340668955
2020-04-20,209861,12.254200685782031
2020-04-27,205189,12.231686784604069
2020-05-04,200404,12.208090608073487
2020-05-11,195515,12.183392381806954
2020-05-18,190529,12.157559692934063
2020-05-25,185456,12.130572936128527
2020-06-01,180302,12.10238850175329
2020-06-08,175079,12.072992579613857
2020-06-15,169811,12.042441332857699
2020-06-22,164525,12.01081781332432
2020-06-29,159247,11.978211734952414
2020-07-06,154005,11.944740348401174
2020-07-13,148825,11.910526398021592
2020-07-20,143734,11.875719648116982
2020-07-27,138759,11.840493894369912
2020-08-03,133926,11.805042687587067
2020-08-10,129264,11.76961210371949
2020-08-17,124798,11.734451709148027
2020-08-24,120556,11.699869654249627
2020-08-31,116563,11.666187178355308
2020-09-07,112848,11.63379705944796
2020-09-14,109437,11.603104320199952
2020-09-21,106357,11.57455663886664
2020-09-28,103635,11.548630389591004
2020-10-05,101297,11.525812074793306
2020-10-12,99371,11.50661559957419
2020-10-19,97883,11.491528166862148
2020-10-26,96861,11.481032240083154
2020-11-02,96330,11.475535075751669
2020-11-09,96319,11.475420878428954
2020-11-16,96853,11.480949644091078
2020-11-23,97960,11.492314511066104
2020-11-30,99667,11.509589908180727
2020-12-07,102000,11.532728092266408
2020-12-14,104986,11.561582286916648
2020-12-21,108652,11.595905393246403
2020-12-28,113026,11.635373159723754
2021-01-04,118133,11.679566387370544
2021-01-11,124001,11.728044909070785
2021-01-18,130657,11.780330847776028
2021-01-25,138127,11.835928830787335
2021-02-01,146438,11.894357409670272
2021-02-08,155533,11.95461320673575
2021-02-15,165016,12.01379771787843
2021-02-22,174408,12.069152660964582
2021-03-01,183227,12.118481100275478
2021-03-08,191081,12.160452700900294
2021-03-15,197926,12.195648502445717
2021-03-22,203805,12.224918933326533
2021-03-29,208759,12.248935755556184
2021-04-05,212831,12.268253702531537
2021-04-12,216065,12.283334567323102
2021-04-19,218503,12.294555023400644
2021-04-26,220188,12.302237005872954
2021-05-03,221162,12.306650743637602
2021-05-10,221468,12.30803338850464
2021-05-17,221148,12.306587439620037
2021-05-24,220246,12.302500382453033
2021-05-31,218804,12.295931630898506
2021-06-07,216864,12.28702570793584
2021-06-14,214470,12.275925147429007
2021-06-21,211664,12.26275539070216
2021-06-28,208488,12.247636764607867
2021-07-05,204986,12.230696963105567
2021-07-12,201200,12.212054717207721
2021-07-19,197172,12.191831723239831
2021-07-26,192946,12.170165635991616
2021-08-02,188564,12.147192750791884
2021-08-09,184069,12.123065966296195
2021-08-16,179503,12.09794719986273
2021-08-23,174909,12.072021117658764
2021-08-30,170329,12.04548713988101
2021-09-06,165807,12.018579740333728
2021-09-13,161385,11.99154809369612
2021-09-20,157106,11.964676015748653
2021-09-27,153012,11.938271628671542
2021-10-04,149147,11.91268767576139
2021-10-11,145552,11.888288690061843
2021-10-18,142270,11.865481939645212
2021-10-25,139345,11.844708151390867
2021-11-01,136818,11.826406854462205
2021-11-08,134722,11.81096867497166
2021-11-15,133049,11.79847276040615
2021-11-22,131780,11.788889144467811
2021-11-29,130895,11.782150754071443
2021-12-06,130377,11.778185532549745
2021-12-13,130205,11.776865410477008
2021-12-20,130361,11.778062803986819
2021-12-27,130826,11.781623475010162
2022-01-03,131582,11.787385510402872
2022-01-10,132608,11.795152686739046
2022-01-17,133888,11.804758908544486
2022-01-24,135401,11.81599602495741
2022-01-31,137128,11.828670075186892
2022-02-07,139051,11.842596051293928
2022-02-14,141151,11.857585518318247
2022-02-21,143409,11.873455966684512
2022-02-28,145807,11.890039108378142
2022-03-07,148324,11.907154349152322
2022-03-14,150942,11.924650936049206
2022-03-21,153643,11.942387008434268
2022-03-28,156407,11.96021686312503
2022-04-04,159216,11.978017049854943
2022-04-11,162051,11.99566637948555
2022-04-18,164892,12.013045993119775
2022-04-25,167721,12.030057163585074
2022-05-02,170519,12.04660200644722
2022-05-09,173268,12.06259480775922
2022-05-16,175947,12.077938092305994
2022-05-23,178539,12.092562343731894
2022-05-30,181024,12.106384898142883
2022-06-06,183383,12.11933214094221
2022-06-13,185598,12.131338323414107
2022-06-20,187650,12.142333804563167
2022-06-27,189519,12.152244562330777
2022-07-04,191188,12.161012516123575
2022-07-11,192636,12.168557676767415
2022-07-18,193845,12.174814149627402
2022-07-25,194797,12.179713269661306
2022-08-01,195472,12.183172425643841
2022-08-08,195857,12.18514008009427
2022-08-15,195963,12.18568114488211
2022-08-22,195806,12.184879652122834
2022-08-29,195402,12.182814253952973
2022-09-05,194768,12.179564385649378
2022-09-12,193921,12.175206138615467
2022-09-19,192875,12.169797589665462
2022-09-26,191649,12.163420852950058
2022-10-03,190257,12.15613106873957
2022-10-10,188717,12.148003817388863
2022-10-17,187045,12.13910450859838
2022-10-24,185256,12.1294939312978
2022-10-31,183368,12.119250341574203
2022-11-07,181397,12.108443278488933
2022-11-14,179359,12.097144662911319
2022-11-21,177271,12.085434914104347
2022-11-28,175148,12.073386609776538
2022-12-05,173008,12.061093115185319
2022-12-12,170866,12.048634902558666
2022-12-19,168738,12.03610249509515
2022-12-26,166642,12.023603077783138
2023-01-02,164593,12.01123103898179
2023-01-09,162609,11.999103825117567
2023-01-16,160704,11.987319442517256
2023-01-23,158896,11.97600517914314
2023-01-30,157200,11.965274158977243
2023-02-06,155634,11.955262375854243
2023-02-13,154214,11.946096527170381
2023-02-20,152955,11.937899039466435
2023-02-27,151874,11.930806508693133
2023-03-06,150988,11.924955642440462
2023-03-13,150313,11.92047506568001
2023-03-20,149864,11.917483495140894
2023-03-27,149660,11.916121333634349
2023-04-03,149715,11.916488765788797
2023-04-10,150047,11.918703857333089
2023-04-17,150671,11.922853930794615
2023-04-24,151604,11.9290271370666
2023-05-01,152862,11.937290832578872
2023-05-08,154455,11.94765807075896
2023-05-15,156362,11.959929110820227
2023-05-22,158556,11.973863122202218
2023-05-29,161011,11.989227964614058
2023-06-05,163699,12.005784654605076
2023-06-12,166594,12.023314993660582
2023-06-19,169668,12.041598865379841
2023-06-26,172895,12.060439752803264
2023-07-03,176246,12.079636025381518
2023-07-10,179696,12.099021813202818
2023-07-17,183217,12.118426521676826
2023-07-24,186782,12.13769744039094
2023-07-31,190364,12.1566933078321
2023-08-07,193937,12.175288643037236
