week,players,log_players
2018-08-06,122588,11.71658441841154
2018-08-13,122588,11.71658441841154
2018-08-20,122588,11.71658441841154
2018-08-27,122588,11.71658441841154
2018-09-03,122588,11.71658441841154
2018-09-10,122588,11.71658441841154
2018-09-17,122588,11.71658441841154
2018-09-24,122588,11.71658441841154
2018-10-01,122588,11.71658441841154
2018-10-08,119867,11.694138073775257
2018-10-15,117146,11.671176299093517
2018-10-22,114425,11.647674865521843
2018-10-29,111704,11.62360779462203
2018-11-05,108983,11.598947185744988
2018-11-12,106262,11.573663021585759
2018-11-19,103540,11.547713290455892
2018-11-26,100819,11.5210821089205
2018-12-03,98098,11.493722257985793
2018-12-10,95377,11.465592738222727
2018-12-17,92656,11.43664898946557
2018-12-24,89935,11.406842466162072
2018-12-31,87214,11.37612014746894
2019-01-07,84493,11.344423969677138
2019-01-14,81772,11.3116901657049
2019-01-21,79051,11.277848492778984
2019-01-28,76330,11.242821324792516
2019-02-04,73609,11.206522579849754
2019-02-11,70888,11.168856445727139
2019-02-18,68166,11.129701185797959
2019-02-25,65445,11.08896537422582
2019-03-04,62724,11.046499428500923
2019-03-11,60003,11.00214983995428
2019-03-18,57282,10.955741717226088
2019-03-25,54561,10.907074620795127
2019-04-01,51840,10.855917331026156
2019-04-08,54860,10.912539764491594
2019-04-15,57881,10.966144457721258
2019-04-22,60901,11.017004873924424
2019-04-29,63921,11.065403224873476
2019-05-06,66942,11.111581851821235
2019-05-13,69962,11.155707516488352
2019-05-20,72982,11.197968114383364
2019-05-27,76002,11.238514934711688
2019-06-03,79023,11.27749422831686
2019-06-10,82043,11.314998779045776
2019-06-17,85063,11.351147437407406
2019-06-24,88084,11.386046183626084
2019-07-01,91104,11.419756990077763
2019-07-08,90270,11.410560458292201
2019-07-15,89437,11.401289745787023
2019-07-22,88603,11.39192099606508
2019-07-29,87769,11.382463642106652
2019-08-05,86935,11.37291599196189
2019-08-12,86102,11.363287918949755
2019-08-19,85268,11.353554516553086
2019-08-26,84434,11.343725443066246
2019-09-02,83601,11.33381076072374
2019-09-09,82767,11.323784710206265
2019-09-16,81933,11.313657119089436
2019-09-23,81100,11.303438240103505
2019-09-30,80266,11.29310139806636
2019-10-07,79432,11.28265658871343
2019-10-14,78598,11.27210153280094
2019-10-21,77765,11.26144673747866
2019-10-28,76931,11.2506641951986
2019-11-04,76097,11.239764121259313
2019-11-11,75264,11.228757211818245
2019-11-18,74430,11.217614365353956
2019-11-25,73596,11.206345955413983
2019-12-02,72762,11.194949119884846
2019-12-09,71929,11.183434800359647
2019-12-16,71095,11.171772289830475
2019-12-23,70261,11.159972158567948
2019-12-30,69428,11.148045523340771
2020-01-06,68594,11.135960346331965
2020-01-13,67760,11.123727329325936
2020-01-20,66926,11.111342810376286
2020-01-27,66093,11.098818120080674
2020-02-03,65259,11.086119246707812
2020-02-10,64425,11.073257035520566
2020-02-17,63592,11.06024295525295
2020-02-24,62758,11.047041338907707
2020-03-02,61924,11.033663105660356
2020-03-09,61090,11.020103465643812
2020-03-16,60257,11.006374027176843
2020-03-23,59423,10.99243663579328
2020-03-30,58589,10.978302244634175
2020-04-06,57756,10.96398251909111
2020-04-13,56922,10.949437188620932
2020-04-20,56088,10.934677164886804
2020-04-27,55255,10.919714113022883
2020-05-04,54421,10.904505387765616
2020-05-11,53587,10.88906178032853
2020-05-18,52753,10.873375921759074
2020-05-25,51920,10.857459351377972
2020-06-01,51086,10.841265766051706
2020-06-08,50841,10.83645839466148
2020-06-15,50595,10.83160803616386
2020-06-22,50350,10.826753898146709
2020-06-29,50105,10.821876082492428
2020-07-06,49860,10.816974357077548
2020-07-13,49614,10.812028330950222
2020-07-20,49369,10.807077975832051
2020-07-27,49124,10.802102992730275
2020-08-03,48878,10.797082676478094
2020-08-10,48633,10.792057591809684
2020-08-17,48388,10.78700712807974
2020-08-24,48143,10.781931027633833
2020-08-31,47897,10.77680815095747
2020-09-07,47652,10.771679880919251
2020-09-14,47407,10.766525176104544
2020-09-21,47161,10.761322558837014
2020-09-28,46916,10.756114047641395
2020-10-05,46671,10.750878265755231
2020-10-12,46426,10.745614926107391
2020-10-19,46180,10.740302082908487
2020-10-26,45935,10.734982632705567
2020-11-02,45690,10.729634734557317
2020-11-09,45444,10.724236077689795
2020-11-16,45199,10.718830241681781
2020-11-23,44954,10.713395023704772
2020-11-30,44709,10.707930102616903
2020-12-07,44463,10.702412661625024
2020-12-14,44218,10.696887224985165
2020-12-21,43973,10.691331088184912
2020-12-28,43727,10.685721039263841
2021-01-04,43482,10.680102338337337
2021-01-11,43237,10.674451889142711
2021-01-18,42992,10.668769330855273
2021-01-25,42746,10.663030902735755
2021-02-01,42501,10.657282884047461
2021-02-08,41898,10.64299337207409
2021-02-15,41296,10.628520921958396
2021-02-22,40693,10.61381136646669
2021-03-01,40090,10.598882205636553
2021-03-08,39707,10.589282773550448
2021-03-15,39323,10.579564868400478
2021-03-22,38940,10.56977727892619
2021-03-29,38557,10.559892944867965
2021-04-05,38173,10.54988373840662
2021-04-12,37790,10.539799796343535
2021-04-19,37407,10.529613131664696
2021-04-26,37023,10.519294620121293
2021-05-03,36640,10.508895818788067
2021-05-10,36257,10.498387745089026
2021-05-17,35874,10.48776807810896
2021-05-24,35490,10.477006245640542
2021-05-31,35107,10.46615581976983
2021-06-07,34724,10.455186369511699
2021-06-14,34340,10.444066134451466
2021-06-21,33957,10.43285029730053
2021-06-28,33574,10.42150723688236
2021-07-05,33190,10.41000390471402
2021-07-12,32807,10.398397186236718
2021-07-19,32424,10.386654168308144
2021-07-26,32040,10.374740401182295
2021-08-02,31657,10.362714572154392
2021-08-09,31274,10.350542360403455
2021-08-16,30890,10.338187785912627
2021-08-23,30507,10.325711444459246
2021-08-30,30124,10.313077475221242
2021-09-06,29741,10.300281844196661
2021-09-13,29357,10.287286297671224
2021-09-20,28974,10.274154155101597
2021-09-27,28591,10.260847261969445
2021-10-04,28207,10.247325453073348
2021-10-11,27824,10.233654236594065
2021-10-18,27441,10.219793524324475
2021-10-25,27057,10.205701030833819
2021-11-01,26674,10.19144458718234
2021-11-08,26743,10.19402803583639
2021-11-15,26813,10.196642123515149
2021-11-22,26882,10.199212196631093
2021-11-29,26952,10.20181278508639
2021-12-06,27021,10.204369620451853
2021-12-13,27090,10.20691993507914
2021-12-20,27160,10.209500581672632
2021-12-27,27229,10.212037860792206
2022-01-03,27299,10.214605350465526
2022-01-10,27368,10.21712972665744
2022-01-17,27438,10.21968419288611
2022-01-24,27507,10.22219579671801
2022-01-31,27576,10.224701108196701
2022-02-07,27646,10.227236331024303
2022-02-14,27715,10.229729061853906
2022-02-21,27785,10.232251585714021
2022-02-28,27854,10.234731861613037
2022-03-07,27923,10.23720600096072
2022-03-14,27993,10.239709757902132
2022-03-21,28062,10.242171626953942
2022-03-28,28132,10.244662997427909
2022-04-04,28201,10.247112717290387
2022-04-11,28270,10.249556450687637
2022-04-18,28340,10.252029513244672
2022-04-25,28409,10.254461275355103
2022-05-02,28479,10.256922252549908
2022-05-09,28548,10.259342160090958
2022-05-16,28617,10.261756225813318
2022-05-23,28687,10.26419933745711
2022-05-30,28756,10.266601720103763
2022-06-06,28826,10.269033036643048
2022-06-13,28895,10.271423848751878
2022-06-20,28965,10.273843483530724
2022-06-27,29034,10.276222836021374
2022-07-04,29103,10.278596540629394
2022-07-11,29173,10.280998902962642
2022-07-18,29242,10.283361310977384
2022-07-25,29312,10.285752267473857
2022-08-01,29381,10.288103485908332
2022-08-08,29555,10.29400821325847
2022-08-15,29730,10.299911915992144
2022-08-22,29904,10.305747529695344
2022-08-29,30078,10.311549286491559
2022-09-05,30253,10.317350632095335
2022-09-12,30427,10.323085651110205
2022-09-19,30601,10.328787967145063
2022-09-26,30775,10.334457951052654
2022-10-03,30950,10.340128278112742
2022-10-10,31124,10.345734504736821
2022-10-17,31298,10.351309476723117
