week,players,log_players
2012-08-06,1,0.0
2012-08-13,1,0.0
2012-08-20,1,0.0
2012-08-27,1,0.0
2012-09-03,1,0.0
2012-09-10,1,0.0
2012-09-17,1,0.0
2012-09-24,1,0.0
2012-10-01,1,0.0
2012-10-08,1,0.0
2012-10-15,2,0.6931471805599453
2012-10-22,3,1.0986122886681098
2012-10-29,3,1.0986122886681098
2012-11-05,4,1.3862943611198906
2012-11-12,5,1.6094379124341003
2012-11-19,6,1.791759469228055
2012-11-26,7,1.9459101490553132
2012-12-03,8,2.0794415416798357
2012-12-10,8,2.0794415416798357
2012-12-17,9,2.1972245773362196
2012-12-24,10,2.302585092994046
2012-12-31,11,2.3978952727983707
2013-01-07,12,2.4849066497880004
2013-01-14,13,2.5649493574615367
2013-01-21,14,2.6390573296152584
2013-01-28,14,2.6390573296152584
2013-02-04,15,2.70805020110221
2013-02-11,16,2.772588722239781
2013-02-18,17,2.833213344056216
2013-02-25,18,2.8903717578961645
2013-03-04,19,2.9444389791664403
2013-03-11,19,2.9444389791664403
2013-03-18,20,2.995732273553991
2013-03-25,21,3.044522437723423
2013-04-01,22,3.091042453358316
2013-04-08,23,3.1354942159291497
2013-04-15,23,3.1354942159291497
2013-04-22,24,3.1780538303479458
2013-04-29,24,3.1780538303479458
2013-05-06,25,3.2188758248682006
2013-05-13,25,3.2188758248682006
2013-05-20,26,3.258096538021482
2013-05-27,26,3.258096538021482
2013-06-03,27,3.295836866004329
2013-06-10,27,3.295836866004329
2013-06-17,28,3.332204510175204
2013-06-24,28,3.332204510175204
2013-07-01,29,3.367295829986474
2013-07-08,363,5.8944028342648505
2013-07-15,698,6.548219102762372
2013-07-22,1032,6.939253946041508
2013-07-29,1366,7.2196420401307355
2013-08-05,1701,7.438971592395862
2013-08-12,2035,7.618251097876695
2013-08-19,2369,7.7702232041587855
2013-08-26,2703,7.902117546276448
2013-09-02,3038,8.018954683155718
2013-09-09,3372,8.123261319121745
2013-09-16,3706,8.217708406845306
2013-09-23,4041,8.304247465078474
2013-09-30,4375,8.383661798791715
2013-10-07,4709,8.457230850243555
2013-10-14,5044,8.52595469708481
2013-10-21,5378,8.59007183682881
2013-10-28,5712,8.65032450401942
2013-11-04,6047,8.707317560273212
2013-11-11,6381,8.761080103868347
2013-11-18,6715,8.812099108957337
2013-11-25,7050,8.860782895806315
2013-12-02,7384,8.907070776182689
2013-12-09,7718,8.951310542097564
2013-12-16,8052,8.993675786759683
2013-12-23,8387,9.034438166984412
2013-12-30,8721,9.073489189226986
2014-01-06,9055,9.111072370317514
2014-01-13,9390,9.147400572202308
2014-01-20,9724,9.182352335436015
2014-01-27,10058,9.21612361673191
2014-02-03,10393,9.248887781588422
2014-02-10,10727,9.280519206597429
2014-02-17,11061,9.311180686902254
2014-02-24,11396,9.341017695617799
2014-03-03,11730,9.36990494164752
2014-03-10,12064,9.397981090247738
2014-03-17,12399,9.425371103179842
2014-03-24,12733,9.451952327573435
2014-03-31,13067,9.477845246989146
2014-04-07,13401,9.503084610020228
2014-04-14,13736,9.527775402577312
2014-04-21,14070,9.551800150108434
2014-04-28,14404,9.575261224768767
2014-05-05,14739,9.598252320836758
2014-05-12,15073,9.62066034281053
2014-05-19,15407,9.642577230581775
2014-05-26,15742,9.664087578702395
2014-06-02,16076,9.685082755569091
2014-06-09,16410,9.705646184084136
2014-06-16,16745,9.725854985228304
2014-06-23,17079,9.745604917619191
2014-06-30,17413,9.764972332679383
2014-07-07,17748,9.7840281124988
2014-07-14,18082,9.802672247297311
2014-07-21,18416,9.820975130961664
2014-07-28,18750,9.838949031398556
2014-08-04,19085,9.85665796517933
2014-08-11,19419,9.874007247213619
2014-08-18,19753,9.891060657528001
2014-08-25,20088,9.907877900837422
2014-09-01,20422,9.924368030115483
2014-09-08,21226,9.962982124321767
2014-09-15,22030,10.000160439796389
