week,players,log_players
2020-01-06,590042,13.287948999788945
2020-01-13,588213,13.28484440618388
2020-01-20,586480,13.281893845897468
2020-01-27,584824,13.279066226247284
2020-02-03,583224,13.276326611093229
2020-02-10,581663,13.273646521205759
2020-02-17,580122,13.270993705230817
2020-02-24,578581,13.268333833100447
2020-03-02,577021,13.265633939975263
2020-03-09,575423,13.262860701493974
2020-03-16,573768,13.259980412413803
2020-03-23,572038,13.256960701721757
2020-03-30,570212,13.253763500486542
2020-04-06,568272,13.250355456319527
2020-04-13,566199,13.24670088549801
2020-04-20,563974,13.24276343012681
2020-04-27,561578,13.238505957137251
2020-05-04,558991,13.233888651828735
2020-05-11,556195,13.228874231169499
2020-05-18,553170,13.22342064736732
2020-05-25,549898,13.217488085464378
2020-06-01,546359,13.21103154782011
2020-06-08,542542,13.204020780754867
2020-06-15,538469,13.196485206604898
2020-06-22,534167,13.188463803133619
2020-06-29,529665,13.18000001021269
2020-07-06,524992,13.171138303362422
2020-07-13,520177,13.161924417255294
2020-07-20,515248,13.152403617134304
2020-07-27,510234,13.14262472300259
2020-08-03,505164,13.132638408012074
2020-08-10,500066,13.122495368693095
2020-08-17,494968,13.112248392996507
2020-08-24,489900,13.101956567626667
2020-08-31,484891,13.09167940239325
2020-09-07,479968,13.081474713995085
2020-09-14,475161,13.071408972955517
2020-09-21,470497,13.061544861791706
2020-09-28,466007,13.05195593445419
2020-10-05,461718,13.042709594089908
2020-10-12,457659,13.03387964430294
2020-10-19,453859,13.025541856098576
2020-10-26,450346,13.017771455191761
2020-11-02,447149,13.010647151385827
2020-11-09,444297,13.00424853670674
2020-11-16,441818,12.998653311555588
2020-11-23,439742,12.993943470279692
2020-11-30,438096,12.990193343424767
2020-12-07,436909,12.987480214406917
2020-12-14,436211,12.985881350221707
2020-12-21,436028,12.98546174045263
2020-12-28,436392,12.98629620096734
2021-01-04,437329,12.988441051232387
2021-01-11,438869,12.991956242058567
2021-01-18,441040,12.996890853263565
2021-01-25,443871,13.003289258658741
2021-02-01,447390,13.011185976424938
2021-02-08,451557,13.020456889718018
