week,players,log_players
2020-01-06,175837,12.077312708527396
2020-01-13,176518,12.081178133158408
2020-01-20,176987,12.08383156253097
2020-01-27,177229,12.085197960647667
2020-02-03,177230,12.085203603049186
2020-02-10,176976,12.083769409142036
2020-02-17,176453,12.08080983094245
2020-02-24,175647,12.076231578128818
2020-03-02,174543,12.069926408606715
2020-03-09,173128,12.061786484293458
2020-03-16,171388,12.051685271026274
2020-03-23,169308,12.039474820401159
2020-03-30,166874,12.024994315609332
2020-04-06,164073,12.008066729720168
2020-04-13,160889,11.988469965199076
2020-04-20,157310,11.96597365981655
2020-04-27,153321,11.94028904177951
2020-05-04,148908,11.91108394456262
2020-05-11,144057,11.877964333570125
2020-05-18,138753,11.840450652996559
2020-05-25,132983,11.797976579485404
2020-06-01,126733,11.749837790170263
2020-06-08,120003,11.695272021451688
2020-06-15,112850,11.633814782245683
2020-06-22,105348,11.565024434714209
2020-06-29,97568,11.488304849787982
2020-07-06,89583,11.402920848818745
2020-07-13,81465,11.307928759137056
2020-07-20,73286,11.202124873725472
2020-07-27,65119,11.083971644293158
2020-08-03,57037,10.951455459034623
2020-08-10,49111,10.801838321277618
2020-08-17,41413,10.631350120184527
2020-08-24,34017,10.434615678639949
2020-08-31,26994,10.203369898069226
2020-09-07,20416,9.924074186144516
2020-09-14,14357,9.571992907127694
2020-09-21,8888,9.092457331319466
2020-09-28,4082,8.31434234336979
2020-10-05,11,2.3978952727983707
2020-10-12,1,0.0
2020-10-19,1,0.0
2020-10-26,1,0.0
2020-11-02,1,0.0
2020-11-09,1,0.0
2020-11-16,1,0.0
2020-11-23,1,0.0
2020-11-30,2580,7.855544677915663
2020-12-07,8379,9.033483854613287
2020-12-14,15635,9.65726726989194
2020-12-21,24423,10.103280590242088
2020-12-28,34813,10.45774615922359
2021-01-04,46878,10.7553037612248
2021-01-11,60691,11.01355069587326
2021-01-18,76324,11.242742715650232
2021-01-25,93849,11.449442386656875
2021-02-01,113338,11.638129783547095
2021-02-08,134668,11.810567769216261
2021-02-15,156930,11.963555125032766
2021-02-22,179019,12.09524722444128
2021-03-01,199830,12.205222284075335
2021-03-08,218457,12.294344477812169
2021-03-15,234791,12.366451035707408
2021-03-22,248920,12.424886838683154
2021-03-29,260934,12.472022780763702
2021-04-05,270922,12.509586235554655
2021-04-12,278974,12.53887386649689
2021-04-19,285178,12.560868825696994
2021-04-26,289624,12.576338808988103
2021-05-03,292401,12.585881426824553
2021-05-10,293598,12.589966763710194
2021-05-17,293305,12.588968302211986
2021-05-24,291610,12.583172572081441
2021-05-31,288604,12.572810785239719
2021-06-07,284374,12.558045552197653
2021-06-14,279012,12.539010070631255
2021-06-21,272604,12.51577547165122
2021-06-28,265242,12.488397895795199
2021-07-05,257014,12.456885837101835
2021-07-12,248010,12.421224346914832
2021-07-19,238318,12.381361195274073
2021-07-26,228028,12.337223707413957
2021-08-02,217229,12.288707375624647
2021-08-09,206011,12.235684844404345
2021-08-16,194462,12.177992050202253
2021-08-23,182672,12.115447473916108
2021-08-30,170730,12.04783864026528
2021-09-06,158726,11.97493472422356
2021-09-13,146748,11.89647210897737
2021-09-20,134886,11.812185256232064
2021-09-27,123229,11.721799691992159
2021-10-04,111866,11.625057005413755
2021-10-11,100886,11.521746445476007
2021-10-18,90380,11.41177828296527
2021-10-25,80435,11.295204683824409
2021-11-01,71142,11.172433158686125
2021-11-08,62570,11.04404120899241
2021-11-15,54717,10.909929726232107
2021-11-22,47558,10.769705297775843
2021-11-29,41071,10.623057555327177
2021-12-06,35233,10.469738422407529
2021-12-13,30022,10.309685725220122
2021-12-20,25415,10.143094829881003
2021-12-27,21389,9.970632050165458
2022-01-03,17921,9.793728488543389
2022-01-10,14989,9.615071877730596
2022-01-17,12569,9.438988743924838
2022-01-24,10639,9.272281773516365
2022-01-31,9176,9.124346658809207
2022-02-07,8158,9.006754319877503
2022-02-14,7561,8.93075873555827
2022-02-21,7363,8.904222737368716
2022-02-28,7540,8.927977461002001
2022-03-07,8071,8.996032669324372
2022-03-14,8933,9.09750756370184
2022-03-21,10102,9.220488703027998
2022-03-28,11555,9.35487352270848
2022-04-04,13271,9.493336482437249
2022-04-11,15226,9.630759771866158
2022-04-18,17398,9.764110536067486
2022-04-25,19764,9.891617379965641
2022-05-02,22300,10.01234195744821
2022-05-09,24984,10.125990898962915
2022-05-16,27794,10.232575449046527
2022-05-23,30707,10.332245920613584
2022-05-30,33699,10.42522344230968
2022-06-06,36748,10.511839081391358
2022-06-13,39832,10.592425888322019
2022-06-20,42927,10.667256277574845
2022-06-27,46011,10.73663577731889
2022-07-04,49061,10.800819700808985
2022-07-11,52054,10.860036920273846
2022-07-18,54967,10.914488284142575
2022-07-25,57777,10.964346051592322
2022-08-01,60463,11.009786886685633
2022-08-08,63005,11.050969367303793
2022-08-15,65400,11.08827753744529
2022-08-22,67651,11.122117415455683
2022-08-29,69759,11.152801723617731
2022-09-05,71726,11.180608582892493
2022-09-12,73553,11.20576151377695
2022-09-19,75243,11.228478155028377
2022-09-26,76797,11.248920855872804
2022-10-03,78216,11.267229509185507
2022-10-10,79503,11.2835500357795
2022-10-17,80660,11.29799806842736
2022-10-24,81687,11.310650149460317
2022-10-31,82587,11.32160756213486
2022-11-07,83361,11.330935853076468
2022-11-14,84011,11.338703021632888
2022-11-21,84539,11.344968245330689
2022-11-28,84947,11.34978281158538
2022-12-05,85236,11.35317915878581
2022-12-12,85407,11.355183343630648
2022-12-19,85464,11.355850513625724
2022-12-26,85406,11.355171634919952
2023-01-02,85237,11.353190890848952
2023-01-09,84958,11.349912295709041
2023-01-16,84570,11.345334872776268
2023-01-23,84076,11.33947643067987
2023-01-30,83476,11.33231444437472
2023-02-06,82774,11.323869281400158
2023-02-13,81969,11.314096405987447
2023-02-20,81065,11.303006580984169
2023-02-27,80062,11.29055661349859
2023-03-06,78964,11.27674733138556
2023-03-13,77770,11.26151103168899
2023-03-20,76484,11.24483684761285
2023-03-27,75106,11.22665572803628
2023-04-03,73638,11.206916475825563
2023-04-10,72083,11.185573511837868
2023-04-17,70442,11.162544955165616
2023-04-24,68716,11.137737347746336
2023-05-01,66908,11.1110738204319
2023-05-08,65021,11.08246557362274
2023-05-15,63072,11.052032209952447
2023-05-22,61079,11.019923387227362
2023-05-29,59059,10.98629222322094
2023-06-05,57032,10.951367792797464
2023-06-12,55016,10.915379330999672
2023-06-19,53029,10.878594212702763
2023-06-26,51089,10.841324488831267
2023-07-03,49215,10.803953734063311
2023-07-10,47425,10.766904794803215
2023-07-17,45738,10.73068474121633
2023-07-24,44171,10.695823744135065
2023-07-31,42743,10.66296071826755
2023-08-07,41473,10.632797892075562
2023-08-14,40379,10.60606512682516
2023-08-21,39479,10.583524163945977
2023-08-28,38791,10.565943539941884
2023-09-04,38334,10.554092509830399
2023-09-11,38126,10.548651743073922
2023-09-18,38185,10.550198047322484
2023-09-25,38531,10.559218391085642
2023-10-02,39180,10.575921691498532
2023-10-09,40152,10.60042753133477
