week,players,log_players
2020-01-06,96523,11.477536600897054
2020-01-13,96682,11.47918252140527
2020-01-20,96791,11.480309293735594
2020-01-27,96846,11.480877367001334
2020-02-03,96839,11.480805084687237
2020-02-10,96766,11.480050971896146
2020-02-17,96621,11.478551387878891
2020-02-24,96397,11.47623035978244
2020-03-02,96090,11.473040531271314
2020-03-09,95692,11.468889979380473
2020-03-16,95199,11.463724716522606
2020-03-23,94605,11.457465607765862
2020-03-30,93903,11.45001761356779
2020-04-06,93088,11.441300561294929
2020-04-13,92154,11.431216369643684
2020-04-20,91095,11.419658196999785
2020-04-27,89906,11.406519959055778
2020-05-04,88580,11.39166137747719
2020-05-11,87112,11.374949926025897
2020-05-18,85497,11.356236566589965
2020-05-25,83727,11.335316785104778
2020-06-01,81798,11.312008072414185
2020-06-08,79708,11.286125236152476
2020-06-15,77473,11.25768476754378
2020-06-22,75116,11.226788864328096
2020-06-29,72656,11.193491253337733
2020-07-06,70116,11.157906292342437
2020-07-13,67515,11.120105074395143
2020-07-20,64876,11.08023303460758
2020-07-27,62219,11.0384156983199
2020-08-03,59566,10.994840220474977
2020-08-10,56938,10.949718235522484
2020-08-17,54355,10.9032918846381
2020-08-24,51839,10.855898040716642
2020-08-31,49412,10.807948588656703
2020-09-07,47093,10.759879649001931
2020-09-14,44905,10.71230442610505
2020-09-21,42868,10.665880905832887
2020-09-28,41004,10.621424901903293
2020-10-05,39333,10.579819140167512
2020-10-12,37877,10.542099346698048
2020-10-19,36657,10.509359684984632
2020-10-26,35694,10.482737886415961
2020-11-02,35010,10.463389013948712
2020-11-09,34624,10.452302362206153
2020-11-16,34559,10.450423287314177
2020-11-23,34836,10.458406613812631
2020-11-30,35475,10.476583502028243
2020-12-07,36498,10.505012743548761
2020-12-14,37926,10.543392171700354
2020-12-21,39780,10.591119552407964
2020-12-28,42081,10.647351611387782
2021-01-04,44850,10.711078867486941
2021-01-11,48108,10.781203762430508
2021-01-18,51878,10.856650087186134
2021-01-25,56178,10.936280500166944
2021-02-01,61032,11.019153595770065
2021-02-08,66410,11.103602926534759
2021-02-15,72085,11.185601257246004
2021-02-22,77781,11.261652464402612
2021-03-01,83221,11.329254998806961
2021-03-08,88178,11.387112777774695
2021-03-15,92621,11.436271176780604
2021-03-22,96569,11.47801305772458
2021-03-29,100041,11.513335380943195
2021-04-05,103055,11.543018105277397
2021-04-12,105629,11.567688233764917
2021-04-19,107784,11.587884503435683
2021-04-26,109536,11.604008541329911
2021-05-03,110905,11.61642925798489
2021-05-10,111910,11.625450255812073
2021-05-17,112569,11.631321645947928
2021-05-24,112900,11.634257750137753
2021-05-31,112923,11.63446144949592
2021-06-07,112656,11.632094206758914
2021-06-14,112117,11.627298247874727
2021-06-21,111326,11.620218112857845
2021-06-28,110301,11.610968271383634
2021-07-05,109061,11.59966263770264
2021-07-12,107624,11.586398950165378
2021-07-19,106008,11.571269841944472
2021-07-26,104234,11.55439365066399
2021-08-02,102318,11.53584088954097
2021-08-09,100281,11.51573152430069
2021-08-16,98140,11.494150309643894
2021-08-23,95914,11.471207235618158
2021-08-30,93622,11.44702067758251
2021-09-06,91283,11.421719849902985
2021-09-13,88914,11.395424889418234
2021-09-20,86535,11.3683042353591
2021-09-27,84165,11.340534436853183
2021-10-04,81822,11.312301435085889
2021-10-11,79525,11.283826716617344
2021-10-18,77292,11.255345736334892
2021-10-25,75141,11.22712162753022
2021-11-01,73093,11.199487881918735
2021-11-08,71161,11.172700194519704
2021-11-15,69347,11.146878165975275
2021-11-22,67647,11.122058286717621
2021-11-29,66059,11.098303561076646
2021-12-06,64580,11.075660044312267
2021-12-13,63207,11.05417033349524
2021-12-20,61936,11.033856872817429
2021-12-27,60766,11.014785701011421
2022-01-03,59693,10.996970039574707
2022-01-10,58715,10.980450509799182
2022-01-17,57828,10.965228366428333
2022-01-24,57030,10.951332724150584
2022-01-31,56317,10.93875172236773
2022-02-07,55688,10.927519962848502
2022-02-14,55138,10.917594412610574
2022-02-21,54666,10.908997222941913
2022-02-28,54268,10.901690013605199
2022-03-07,53941,10.895646135639412
2022-03-14,53683,10.890851656820173
2022-03-21,53490,10.887249999525295
2022-03-28,53360,10.884816680589505
2022-04-04,53291,10.883522740361526
2022-04-11,53278,10.883278766972182
2022-04-18,53319,10.884048019428102
2022-04-25,53411,10.885771996244106
2022-05-02,53552,10.888408423451107
2022-05-09,53739,10.891894273883212
2022-05-16,53968,10.896146557301432
2022-05-23,54237,10.901118611350125
2022-05-30,54542,10.906726326060939
2022-06-06,54882,10.91294070488442
2022-06-13,55253,10.919677916548416
2022-06-20,55652,10.926873294961768
2022-06-27,56076,10.934463192488426
2022-07-04,56523,10.94240291394611
2022-07-11,56990,10.950631092829045
2022-07-18,57473,10.95907055128778
2022-07-25,57970,10.967680914333778
2022-08-01,58478,10.976405894112434
2022-08-08,58995,10.98520797353402
2022-08-15,59520,10.994067669506974
2022-08-22,60054,11.002999436447073
2022-08-29,60597,11.0120006658815
2022-09-05,61150,11.021085141115318
2022-09-12,61713,11.030249884620584
2022-09-19,62286,11.0394919604213
2022-09-26,62870,11.048824381377107
2022-10-03,63466,11.058259608414442
2022-10-10,64072,11.067762730003519
2022-10-17,64691,11.077377367258327
2022-10-24,65321,11.087068856214001
2022-10-31,65965,11.096879577317877
2022-11-07,66621,11.10677512214237
2022-11-14,67290,11.116766916182364
2022-11-21,67974,11.126880558101544
2022-11-28,68671,11.137082263908574
2022-12-05,69383,11.147397159715752
2022-12-12,70110,11.157820716201014
2022-12-19,70852,11.168348473372488
2022-12-26,71610,11.178990008000985
2023-01-02,72384,11.189740559475792
2023-01-09,73174,11.200595445597218
2023-01-16,73980,11.211550065386445
2023-01-23,74804,11.222626638468611
2023-01-30,75646,11.233819842735949
2023-02-06,76505,11.245111377155913
2023-02-13,77382,11.256509474392447
2023-02-20,78279,11.268034646773332
2023-02-27,79194,11.279655817357009
2023-03-06,80128,11.291380635019715
2023-03-13,81082,11.303216267257271
2023-03-20,82057,11.315169406712247
2023-03-27,83051,11.327210155908142
2023-04-03,84067,11.339369378944044
2023-04-10,85104,11.351629316982098
2023-04-17,86163,11.363996130165608
2023-04-24,87243,11.376452607619775
2023-05-01,88346,11.389016202246408
2023-05-08,89470,11.401658652541641
2023-05-15,90611,11.414330897464664
2023-05-22,91762,11.42695354755526
2023-05-29,92915,11.43944037570775
2023-06-05,94065,11.45174131164523
2023-06-12,95205,11.46378774040868
2023-06-19,96329,11.475524694715746
2023-06-26,97430,11.486889450419387
2023-07-03,98501,11.49782197939291
2023-07-10,99537,11.508284713320634
2023-07-17,100529,11.518201522070573
2023-07-24,101473,11.527548032224866
2023-07-31,102361,11.536261059667192
2023-08-07,103186,11.544288463912368
2023-08-14,103943,11.551597950951376
2023-08-21,104625,11.558137807791777
2023-08-28,105225,11.563856193638772
2023-09-04,105737,11.568710157909756
2023-09-11,106153,11.57263672862559
2023-09-18,106469,11.575609141947458
2023-09-25,106676,11.577551482279897
2023-10-02,106769,11.57842290120173
2023-10-09,106742,11.578169986830629
2023-10-16,106586,11.576707450006516
2023-10-23,106297,11.57399234191862
